num,nombre,partido,eleccion,estado,camara,propietario,twitter,facebook,youtube,pagina_personal,twitter_avatar
68,"Bojórquez Javier Claudia Elizabeth","PRD","Mayoría Relativa","Tabasco","D","PROPIETARIO","ClaudiaBojorque","Claudia-Bojorquez","","","http://pbs.twimg.com/profile_images/2163202519/0f0tBt4t_bigger"
69,"Bonilla Gómez Adolfo","PRI","Mayoría Relativa","Zacatecas","D","PROPIETARIO","fitobonilla","Adolfo-FITO-Bonilla","","","http://pbs.twimg.com/profile_images/1908427989/foto_fito_bonilla_bigger.jpg"
70,"Bonilla Jaime Juana","PRD","Representación Proporcional","México","D","PROPIETARIO","","juana.bonillajaime","","",
71,"Bonilla Valdez Jaime","PT","Representación Proporcional","Baja California","D","PROPIETARIO","Jaime_BonillaV","DipJaimeBonillaValdez","Jaime Bonilla","www.jaimebonilla.com","http://pbs.twimg.com/profile_images/2634934769/7d4be897ff1f3cacda6325376630d328_bigger.jpeg"
72,"Borboa Becerra Omar Antonio","PAN","Mayoría Relativa","Jalisco","D","PROPIETARIO","OMARBORBOA10","","","","http://pbs.twimg.com/profile_images/2567307862/IMG-20120829-00005_bigger.jpg"
73,"Borges Pasos Teresita de Jesús","PRD","Representación Proporcional","Yucatán","D","PROPIETARIO","tereborgespasos","tere.borgespaso","","","http://pbs.twimg.com/profile_images/2787341932/8a1c2bb78573d4b83fa70e066ca70808_bigger.jpeg"
74,"Botello Montes José Alfredo","PAN","Representación Proporcional","Querétaro","D","PROPIETARIO","","","","",
75,"Bribiesca Sahagún Fernando","PANAL","Representación Proporcional","Guanajuato","D","PROPIETARIO","Ferbribiesca","FernandoBribiesca","","","http://pbs.twimg.com/profile_images/435500945133154304/NH4Yj_mn_bigger.png"
76,"Brito Lara Tomás","PRD","Mayoría Relativa","Tabasco","D","PROPIETARIO","tomasbritolara","","","","http://pbs.twimg.com/profile_images/437859028022996995/DtAZlJ_Q_bigger.jpeg"
77,"Bueno Torio Juan","PAN","Representación Proporcional","Veracruz","D","PROPIETARIO","juanbuenot","jbuenotorio","Juan Bueno Torio","www.juanbueno.com.mx","http://pbs.twimg.com/profile_images/378800000671562590/00cb45b8881f82970e5d6c9b8a19df10_bigger.jpeg"
78,"Caamal Mena José Angelino","PANAL","Representación Proporcional","Campeche","D","PROPIETARIO","DipAngelinoCM","José-Angelino-Caamal","","","http://pbs.twimg.com/profile_images/2620079012/czn3d90r14u7rtp5uv1x_bigger.jpeg"
79,"Caballero Garza Benito","PRI","Mayoría Relativa","Nuevo León","D","PROPIETARIO","benitocaballero","benito.caballerogarza.3","","","http://pbs.twimg.com/profile_images/117069768/BenitoSolo_bigger.jpg"
80,"Caballero Rosiñol Joaquín","PRI","Mayoría Relativa","Veracruz","D","PROPIETARIO","Joaquin_Coatza","joaquin.caballerorosinol.3","joaquín caballero","","http://pbs.twimg.com/profile_images/3216190111/6cf014e5e4c1766712e3e28beb9c647c_bigger.jpeg"
81,"Cabañas Aparicio María Elia","PRI","Mayoría Relativa","Baja California","D","PROPIETARIO","","Maria-Elia-Cabañas-Aparicio","","",
82,"Cáceres de la Fuente Juan Francisco","PAN","Representación Proporcional","Tabasco","D","PROPIETARIO","jf_caceres","","","","http://pbs.twimg.com/profile_images/378800000681526848/5b500d0cd1876ac67434796afeac2251_bigger.jpeg"
83,"Calderón Ramírez Leticia","PRI","Representación Proporcional","México","D","PROPIETARIO","LetiCalderonR","leticia.calderonramirez","Leticia Calderón Ramírez","","http://pbs.twimg.com/profile_images/443068657258602497/GeF8xrun_bigger.jpeg"
84,"Calzada Arroyo Marco Antonio","PRI","Mayoría Relativa","México","D","PROPIETARIO","Marco_Calzada","marco.a.calzada.arroyo","","","http://pbs.twimg.com/profile_images/2089596678/Marco-Antonio-Calzada_bigger.jpg"
85,"Camarena García Felipe Arturo","PVEM","Mayoría Relativa","Guanajuato","D","PROPIETARIO","FelipeACamarena","felipe.camarenagarcia","","","http://pbs.twimg.com/profile_images/1623256551/Camarena__2__bigger.jpg"
86,"Camarillo Ortega Rubén","PAN","Representación Proporcional","Aguascalientes","D","PROPIETARIO","","RubenCamarilloElCumplidos","","www.rubencamarillo.org.mx",
87,"Campos Córdova Lisandro Arístides","PRI","Mayoría Relativa","Puebla","D","PROPIETARIO","","lisandrocampos.cordova","","lisandrocampos.com",
88,"Cano Ayala María Elena","PRI","Representación Proporcional","Guanajuato","D","PROPIETARIO","","mariaelenacb1","","",
89,"Cantú Garza Ricardo","PT","Representación Proporcional","México","D","PROPIETARIO","","","","",
90,"Cantú Segovia Eloy","PRI","Representación Proporcional","Nuevo León","D","PROPIETARIO","EloyCantuS","Eloy-Cantú-Segovia","eloycantusegovia","www.eloycantu.org","http://pbs.twimg.com/profile_images/3372974727/3e2af0e67a27e44c2ea9d4fc71626db2_bigger.jpeg"
91,"Carbajal González Alejandro","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","","Alejandro-Carbajal-González","","",
92,"Carbajal Hernández Juan Manuel","PRI","Mayoría Relativa","México","D","PROPIETARIO","JMCarbajalH","JMCarbajalh","carbajaltv","www.juanmanuelcarbajal.com","http://pbs.twimg.com/profile_images/2002552578/PHO_bigger.png"
